"cohort_yymm","cohort_index","cohort_ret_nbr","cohort_ret_pct"
"2019-07-01","8","55","50.925925925925924"
"2019-07-01","9","54","50"
"2019-07-01","10","52","48.148148148148145"
"2019-07-01","11","49","45.370370370370374"
"2019-07-01","12","46","42.592592592592595"
"2019-07-01","13","43","39.81481481481482"
"2019-07-01","14","37","34.25925925925926"
"2019-07-01","15","33","30.555555555555557"
"2019-07-01","16","24","22.22222222222222"
"2019-07-01","17","23","21.296296296296298"
"2019-08-01","0","115","100"
"2019-08-01","1","96","83.47826086956522"
"2019-08-01","2","82","71.30434782608695"
"2019-08-01","3","76","66.08695652173913"
"2019-08-01","4","73","63.47826086956522"
"2019-08-01","5","69","60"
"2019-08-01","6","66","57.391304347826086"
"2019-08-01","7","64","55.65217391304348"
"2019-08-01","8","64","55.65217391304348"
"2019-08-01","9","61","53.04347826086956"
"2019-08-01","10","58","50.43478260869565"
"2019-08-01","11","55","47.82608695652174"
"2019-08-01","12","46","40"
"2019-08-01","13","39","33.91304347826087"
"2019-08-01","14","35","30.434782608695652"
"2019-08-01","15","21","18.26086956521739"
"2019-08-01","16","20","17.391304347826086"
"2019-09-01","0","66","100"
"2019-09-01","1","58","87.87878787878788"
"2019-09-01","2","51","77.27272727272727"
"2019-09-01","3","47","71.21212121212122"
"2019-09-01","4","46","69.6969696969697"
"2019-09-01","5","44","66.66666666666667"
"2019-09-01","6","42","63.63636363636363"
"2019-09-01","7","37","56.06060606060606"
"2019-09-01","8","35","53.03030303030303"
"2019-09-01","9","35","53.03030303030303"
"2019-09-01","10","35","53.03030303030303"
"2019-09-01","11","34","51.515151515151516"
"2019-09-01","12","31","46.96969696969697"
"2019-09-01","13","27","40.90909090909091"
"2019-09-01","14","10","15.151515151515152"
"2019-09-01","15","10","15.151515151515152"
"2019-10-01","0","56","100"
"2019-10-01","1","52","92.85714285714286"
"2019-10-01","2","48","85.71428571428571"
"2019-10-01","3","46","82.14285714285714"
"2019-10-01","4","45","80.35714285714286"
"2019-10-01","5","43","76.78571428571429"
"2019-10-01","6","41","73.21428571428571"
"2019-10-01","7","40","71.42857142857143"
"2019-10-01","8","38","67.85714285714286"
"2019-10-01","9","35","62.5"
"2019-10-01","10","35","62.5"
"2019-10-01","11","34","60.714285714285715"
"2019-10-01","12","32","57.142857142857146"
"2019-10-01","13","8","14.285714285714286"
"2019-10-01","14","7","12.5"
"2019-11-01","0","79","100"
"2019-11-01","1","72","91.13924050632912"
"2019-11-01","2","66","83.54430379746836"
"2019-11-01","3","57","72.15189873417721"
"2019-11-01","4","55","69.62025316455696"
"2019-11-01","5","51","64.55696202531645"
"2019-11-01","6","50","63.29113924050633"
"2019-11-01","7","47","59.49367088607595"
"2019-11-01","8","46","58.22784810126582"
"2019-11-01","9","43","54.43037974683544"
"2019-11-01","10","40","50.63291139240506"
